Well,Bit Size (in),I.A.D.C,Bit Time(H),Weight On Bit Min. (T),Weight On Bit Max. (T),"Progress In (m)
","Progress Out (m)
","Progress Footage (m)
",Revolution Per Minute,Pump Liner (in),Pump Stroke (in),Pump A (SPM),Pump B (SPM),Pump Pressure (KSC),Torque Min.,Torque Max.,Dull Bit Grading (%)
TC-14W,17.5,135,136.25,1,8,6,300,294,90,6,9,98,0,22,20,170,13
TC-14W,12.25,137,71.5,1,5,300,469.5,169.5,90,6,9,70,70,58,40,150,50
TC-14W,12.25,137,69.38,4,6,469.5,604,134.5,50,6,9,70,70,55,0,220,50
TC-14W,12.25,137,64.22,8,10,604,690,86,50,6,9,70,70,55,0,350,100
TC-14W,12.25,137,30.97,8,10,690,745.7,55.7,50,6,9,70,70,60,150,350,100
TC-14W,8.5,135,5.95,8,10,745.7,752.5,6.8,100,6,9,0,90,15,150,200,88
TC-14W,8.5,135,11.32,6,10,752.5,762.5,10,50,6,9,60,60,42,170,220,88
TC-14W,8.5,135,29.1,7,10,762.5,802,39.5,90,6,9,60,60,42,140,200,75
TC-14W,8.5,137,35.33,7,9,802,858.3,56.3,50,6,9,60,60,60,0,230,88
TC-14W,8.5,137,21.58,6,9,858.3,886.7,28.4,50,6,9,0,100,58,0,250,100
TC-14W,8.5,437,92.87,5,13,950,1401,263,60,6,9,60,60,68,0,480,38
TC-14W,8.5,437,91.72,4,10,886.7,1530,273.8,95,6,9,60,60,62,200,450,100
TC-14W,8.5,517,121.62,4,6,1404.2,1724.9,290.7,95,6,9,50,50,50,280,450,50
TC-14W,8.5,517,116.35,6,6,1724.9,2000,275.1,95,6,9,50,50,55,60,320,100
TC-15W,17.5,135,10.62,1,2,6,50,44,85,6,9,0,50,3,20,170,13
TC-15W,12.25,137,13.08,4,5,50,96,46,90,6,9,80,0,15,50,90,13
TC-15W,12.25,215,46.5,4,5,96,250,154,90,6,9,80,0,19,50,100,38
TC-15W,8.5,137,20.42,4,5,250,300,50,85,6,9,60,60,60,150,200,25
TC-15W,8.5,137,33.82,6,8,300,498,198,50,6,9,60,60,60,130,190,25
TC-15W,8.5,137,49.37,9,10,498,667.7,169.7,50,6,9,60,60,60,200,240,100
TC-15W,8.5,437,20.33,9,10,667.7,925,257.3,60,6,9,58,58,60,300,450,100
TC-15W,8.5,137,21.83,12,12,925,992.7,67.7,60,6,9,58,58,60,300,380,100
TC-15W,8.5,417,88.2,8,8,992.7,1254,261.3,60,6,9,58,58,41,200,350,100
TC-15W,8.5,417,62.55,8,9,1254,1439,185,50,6,9,58,58,65,400,530,100
TC-15W,8.5,517,24.73,8,8,1439,1500,54.5,80,6,9,60,60,60,400,530,50
TC-16W,17.5,135,13.37,1,3,5.2,50,44.8,80,6,9,0,70,3,20,170,13
TC-16W,12.25,211,0.83,1,3,50,51,1,80,6,9,0,70,12,10,10,13
TC-16W,12.25,131,8.72,1,3,51,80,29,75,6,9,0,70,12,12,12,13
TC-16W,12.25,211,29.75,6,7,80,201,121,90,6,9,80,70,35,120,190,25
TC-16W,8.5,131,5.08,2,3,201,230,29,90,6,9,51,57,40,120,190,75
TC-16W,8.5,137,129.87,4,7,230,638,408,55,6,9,67,67,77,120,190,13
TC-16W,8.5,437,72.78,7,8,638,832.3,194.3,95,6,9,60,60,60,120,500,100
TC-16W,8.5,437,44.22,5,6,832.3,1000.5,168.2,95,6,9,50,50,40,170,360,100
TC-16W,8.5,137,134.47,4,10,383,756,373,55,6,9,65,65,70,100,180,63
TC-16W,8.5,537,27.88,5,6,756,826.5,70.5,95,6,9,65,65,70,80,170,100
TC-16W,8.5,627,6.48,5,6,826.5,915.5,89,95,6,9,50,50,87,80,170,100
TC-16W,8.5,537,21.72,6,7,915.5,985,69.5,95,6,9,60,60,63,90,210,25
TC-16W,8.5,137,5.78,5,7,985,1000,15,95,6,9,60,60,19,110,140,25
TC-17W,12.25,211,21.57,1,3,6.38,80,73.62,85,6,9,50,50,20,30,70,100
TC-17W,8.5,137,15.65,4,6,80,143.5,63.5,85,6,9,56,56,24,30,70,38
TC-17W,12.25,137,19.82,3,8,80,199,119,90,6,9,56,56,24,30,120,13
TC-17W,8.5,137,67.77,9,10,199,346.9,147.9,90,6,9,70,70,65,150,230,100
TC-17W,8.5,137,28.67,4,8,346.9,383,36.1,90,6,9,77,77,78,150,230,100
TC-17W,8.5,537,24.83,8,10,383,427,44,65,6,9,75,75,72,150,230,100
TC-17W,8.5,137,59.27,5,9,427,571,144,65,6,9,53,53,42,80,300,50
TC-17W,8.5,137,57.97,5,8,626,732,106,95,6,9,60,60,42,80,300,100
TC-17W,8.5,137,40.9,7,10,571,754.5,77.5,95,6,9,62,62,52,150,350,100
TC-17W,8.5,137,81.83,5,8,754.5,945.3,190.8,95,6,9,55,55,55,140,350,100
TC-18W,12.25,137,24.4,0,4,6.5,118,111.5,95,6,9,55,55,25,10,80,13
TC-18W,8.5,137,56.27,3,8,118,258.6,140.6,65,6,9,70,70,62,50,80,100
TC-18W,8.5,137,13.43,4,9,258.6,273,14.4,45,6,9,65,65,29,60,90,100
TC-18W,8.5,PDCM323,53.95,1,6,273,497.7,224.7,50,6,9,83,83,50,50,160,50
TC-18W,8.5,137,26.47,4,8,497.7,550,52.3,50,6,9,70,70,62,90,160,75
TC-18W,8.5,137,29.9,6,8,550,609,59,95,6,9,54,54,46,80,220,88
TC-18W,8.5,137,45.62,6,8,609,732.5,123.5,95,6,9,60,60,70,100,180,100
TC-18W,8.5,137,25.45,3,7,732.5,781.7,49.2,55,6,9,67,67,80,100,140,100
TC-18W,8.5,137,23.98,4,8,781.7,821,39.3,50,6,9,54,54,42,110,180,88
